axiuluo         ssr 阿修罗，修
bailang         sr 白狼
baiwuchang_bat  sr 白无常
baizangzhu      ssr 白藏主，小白
baizangzhu_mengchong        小白
bazhiwu         八咫乌 藤原道长御灵
beimihu         ssr 卑弥呼，卑
bingyong        r 兵勇，兵
boss_seyueshen_beihouling       这个boss前缀的应该是御神 不用管 pvp不生效
boss_seyueshen_beihouling_3
boss_yezhuishen_beihouling_2
bujianyue       ssr 不见岳，岳
c1_axiuluo          阿修罗
c1_dishitian        ssr 帝释天，帝        
c1_dishitian_show       帝
c1_guijinyang           鬼金羊，羊
c1_guijinyang_show      羊
c1_lingyanji            ssr 铃彦姬，017
c1_sp_huang             sp荒
c1_sp_huiyeji           sp因幡辉夜姬，因幡，因
c1_sp_huiyeji_show      因
c1_sp_jiutuntongzi      sp鬼王酒吞童子，鬼吞，吞
c1_sp_shantu            sp山兔，sp兔，兔
c1_sp_xuenv             sp雪女，sp雪
c1_sp_xuenv_show        sp雪
c1_ssr_huangkulou       ssr荒骷髅，骷髅，骷
c1_ssr_huangkulou_show      骷
c1_xueyuqian            ssr雪御前，雪御前，太奶
c2_sp_guiqie            sp鬼切，奶切
c2_sp_huang             sp荒
c2_sp_mianlingqi        sp面灵气，sp面
c3_yanluowang           ssr阎魔，阎魔，阎
c3_yanluowang_show      阎
chishe                  n 赤舌
chitianxiegui           n 天邪鬼赤
choushizhinv            r 丑时之女，丑女，丑
cimutongzi              ssr茨木童子，茨木，茨
damo_daji               某种蛋
damo_guiwu              鬼武达摩
damobudaoweng              damo=达摩=蛋 这个是经验材料不会有人用的 但是有人会ban这个=空ban
damobudaoweng_bai       白蛋
damobudaoweng_hei       黑蛋
daomuxiaogui            n 盗墓小鬼
dishitian               帝
dizhennian              地震鲶 这个是boss 不是式神 不用管
dizhennian_houzi        不用管
dizhennian_niaoju01     不用管
egui                    r 饿鬼
fenghuanghuo            sr 凤凰火
fengyangjun             ssr 封阳君，封阳，封
geye                    ssr 葛叶，葛
guanhu                  r 管狐
guhuoniao               sr姑获鸟，姑姑，鸟，鸟姐
